## Vim useful binds
Search word under cursor | * / #
Prev / Next sentence | ( / )
Prev / Next paragraph | { / }
[Visual] Move to start selected area | o
[Visual] Move to end selected area | O
Mark line as <key> | m <key>
Goto mark <key> | ` <key>
Delete until /wordsearch | d</wordsearch>
repeat ftFT | , / ;
lowercase / uppercase / switch case | u / U / ~
Replace with confirmations / ignore case | :s/old/new/gc / :s/old/new/gi
Finds lines starting with char | /^char
Finds all letters in the brackets | /[abc]
Finds x or y | /x\|y
Finds ch[any]r | /ch.r
Finds starting with the | \<the
Finds ending with the | the\>
Finds exclusively the | \<the\>

## Vim personal binds
Save all files | <C-s>
Select all | <C-a>
Search and replace file or visual selection | <leader>S
Delete selection into void | <leader>d
Paste into selection without changing clipboard | <leader>p
Open diagnostic quickfix list | <leader>q

## Vim-Visual-Multi
Make new cursor / enter VVM | <C-n>
Skip cursor on line | q
Create cursor directly under / over | <C-Up> / <C-Down>

## Comment.nvim
Line | gcc
Line in visual | gc
Line as block | gbc
Line as block in visual | gb

## Telescope
Find [H]elp | <leader>fh
Find [K]eymaps | <leader>fk
Find [F]iles | <leader>ff
Find [S]elect | <leader>fs
Find [W]ord | <leader>fw
Find [G]rep | <leader>fg
Find [D]iagnostics | <leader>fd
Find [R]esume (latest telescope) | <leader>fr
Find [N]eovim files | <leader>n
File [B]rowser | <leader>fb
Find Recent files | <leader>f.
Find Buffers | <leader><leader>
Find in current Buffer | <leader>/
Open Cheatsheet | <leader>?

## LSP
LSP goto rename | grn
LSP goto code action | gra
LSP goto references | grr
LSP goto implementations | gri
LSP goto definition | grd
LSP goto Declaration | grD
LSP open document symbols | gO
LSP open workspace symbols | gW
LSP goto type definition | grt
LSP toggle inlay hints | <leader>ti
Next result - Jump to next snippet placeholder | ⌃n
Previous result - Jump to previous snippet placeholder | ⌃p
Confirm entry | ⌃y
Abort autocompletion | ⌃e
